COUNTY,2008 COUNT,2008 RATE,2009 COUNT,2009 RATE,2010 COUNT,2010 RATE,2011 COUNT,2011 RATE,2012 COUNT,2012 RATE,2013 COUNT,2013 RATE,2014 COUNT,2014 RATE,2015 COUNT,2015 RATE,2016 COUNT,2016 RATE,2017 COUNT,2017 RATE
Tyler,1,4.7,3,14.1,7,31.6,1,4.5,2,9,0,0,0,0,3,13.5,1,4.5,3,13.4
Upshur,5,13.3,10,26.3,6,15.7,12,31.1,21,54,13,33.2,18,43.2,12,28.4,17,39.7,8,18.4
Upton,2,61.9,1,30.6,1,31.8,0,0,2,64.2,0,0,5,139.8,4,110.1,2,54.2,2,53.6
Uvalde,12,46.6,9,34,5,17.9,11,39.2,12,42.5,13,45.9,16,58.6,10,36.3,4,14.4,6,21.5
Val Verde,23,48.1,24,49.7,18,36,23,45.5,11,21.6,21,40.9,19,37.4,13,25.4,10,19.4,18,34.6
Van Zandt,16,30.6,2,3.8,5,9.3,10,18.5,11,20.1,8,14.5,7,12.8,9,16.2,12,21.4,6,10.6
Victoria,48,55.3,74,84.3,53,59.4,44,49.1,42,46.6,35,38.7,60,67.3,55,61.2,54,59.7,62,68.1
Walker,19,29.4,9,13.9,7,10.7,14,21.5,23,35.4,10,15.4,19,27.2,14,19.9,87,123.1,5,7
Waller,7,18.1,7,18,11,26,9,20.8,15,33.9,11,24.3,7,14.4,11,22,5,9.7,4,7.5
Ward,1,9.5,5,47.4,5,50.4,5,51,2,20.6,6,62.6,4,36.7,3,27.4,5,45.4,2,18.1
Washington,2,6.1,3,9.1,3,9,9,26.6,12,35.2,8,23.2,14,39.7,11,30.8,18,49.8,15,41.1
Webb,49,20.6,35,14.5,23,8.9,37,14,47,17.4,46,16.6,41,14.9,41,14.5,40,13.8,36,12.2
Wharton,13,30.6,8,18.8,9,20.6,12,27.3,14,63.4,10,22.5,7,16.6,6,14.2,10,23.5,6,14.1
Wheeler,0,0,3,57.6,1,19.5,2,39,1,19.5,1,19.6,1,17.9,2,35.5,5,88,2,34.8
Wichita,62,47.6,13,9.7,11,8.6,15,11.8,18,14.2,22,17.4,9,6.8,25,18.9,45,34,37,27.9
Wilbarger,5,34.8,2,13.9,2,13.1,3,19.6,2,13,2,13,2,14.2,3,21.1,4,27.9,1,6.9
Willacy,17,81,8,38.1,13,59,8,36.1,9,40.3,7,31.1,2,8.3,5,20.5,2,8,5,19.7
Williamson,111,28.3,77,18.9,111,25.5,136,29.7,108,22.4,108,21.3,153,30.7,159,30.7,134,24.8,138,24.5
Wilson,17,41.5,7,17.1,5,11,16,34.1,25,51.6,16,32,23,47.5,18,36.1,22,42.9,16,30.3
Winkler,0,0,0,0,0,0,0,0,2,31.1,1,15.8,3,39.3,1,12.9,1,12.7,1,12.5
Wise,23,39.3,12,20.2,27,43.9,29,46.1,21,32.6,14,21.3,9,13.9,26,39.2,25,36.8,13,18.7
