COUNTY,2008 COUNT,2008 RATE,2009 COUNT,2009 RATE,2010 COUNT,2010 RATE,2011 COUNT,2011 RATE,2012 COUNT,2012 RATE,2013 COUNT,2013 RATE,2014 COUNT,2014 RATE,2015 COUNT,2015 RATE,2016 COUNT,2016 RATE,2017 COUNT,2017 RATE
De Witt,7,34.7,13,64.4,10,48.6,21,101.9,7,33.9,8,38.6,3,14.7,14,68.4,14,68,15,72.6
Dickens,1,38,0,0,1,35.8,1,35.9,0,0,1,36,0,0,1,40.1,1,40.1,2,80.1
Dimmit,9,90.3,4,40,2,20.5,11,113.5,4,41.5,3,31.4,4,38.5,2,19.1,1,9.5,0,0
Donley,3,76,0,0,0,0,1,25.8,1,25.8,0,0,1,26.6,2,52.9,3,79,0,0
Duval,9,73.5,5,40.6,8,66.4,5,41.9,2,16.9,7,60,4,32.8,5,40.8,2,16.2,5,40.3
Eastland,20,109.9,2,10.9,8,42.6,7,37.2,12,63.6,7,37.1,5,26.2,5,26,4,20.6,16,82
Ector,35,26.7,24,17.9,13,9.8,38,28.3,19,14,14,10.2,19,13,22,14.8,62,41.2,22,14.4
Edwards,0,0,1,49.6,0,0,2,90.3,1,45.2,2,90.3,0,0,1,47.2,0,0,0,0
Ellis,52,35.2,29,19.2,25,15.7,35,21.2,37,21.6,36,20.3,25,14.9,57,32.9,30,16.8,31,16.9
El Paso,123,16.4,125,16.6,139,18,95,12.1,99,12.5,115,14.4,136,15.8,167,19.1,124,13.9,124,13.7
Erath,26,73.7,12,33.5,15,37.8,15,37.3,28,68.8,19,46.2,12,30.6,22,55.6,13,32.5,19,47.1
Falls,0,0,2,11.3,3,16,9,48,1,5.3,10,53.2,1,5.4,6,32.2,3,16,9,47.7
Fannin,6,17.5,4,11.7,3,8.6,3,8.5,2,5.6,2,5.6,9,25.4,5,14,4,11.1,11,30.1
Fayette,1,4.1,2,8.3,8,31.7,7,27.3,13,49.9,12,45.3,4,15.4,7,26.5,2,7.5,8,29.5
Fisher,5,120.5,1,24.3,1,24,1,24.1,0,0,1,24.3,3,75.7,2,50.7,3,76.2,6,152.6
Floyd,5,70,2,27.8,10,144.7,2,29.3,2,29.6,7,104.6,3,45.7,4,60.8,3,45.5,2,30.3
Foard,1,69.2,0,0,1,63.2,0,0,2,126.8,1,63.5,1,74.2,1,73.8,0,0,2,146.6
Fort Bend,124,23.2,75,13.4,109,18.9,102,16.9,103,16.3,106,16,113,16.3,116,16,154,20.4,112,14.2
Franklin,1,9.5,0,0,1,9.1,1,9,3,26.7,3,26.3,2,18,2,17.8,3,26.4,1,8.7
Freestone,0,0,4,20.1,3,14.7,6,29,6,28.6,3,14.1,3,14.5,11,52.6,4,18.9,1,4.7
Frio,4,24.5,6,36.7,4,22.3,4,22.1,6,32.9,5,27.3,7,38.1,2,10.7,4,21.1,4,20.8
Gaines,0,0,0,0,1,6.1,1,6,0,0,0,0,3,15.7,4,20.5,3,15,3,14.7
Galveston,47,16.3,49,17,64,21.8,64,21.4,66,21.7,70,22.7,81,26.3,89,28.4,120,37.8,56,17.4
Garza,1,19.7,0,0,2,38.2,4,75.8,1,18.8,2,37.4,1,14.9,2,29.7,2,29.4,2,29.3
Gillespie,4,16.5,3,12.1,11,42.5,11,41.6,6,22.2,6,21.7,3,11.2,16,58.8,8,28.8,5,17.7
Glasscock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,304
Goliad,4,55,6,81.6,4,51.9,9,115.7,3,38.3,2,25.3,3,38.8,7,89.1,3,37.6,7,86.2
Gonzales,15,78,19,97.3,21,103.1,11,53.5,14,67.7,16,76.8,6,28.7,22,104.1,14,65.5,8,37
Gray,7,30.9,5,22,5,21.9,8,35,6,26.2,1,4.4,5,21.4,9,38.1,8,33.5,8,33.2
Grayson,14,11.8,9,7.5,18,14.9,24,19.7,7,5.7,12,9.7,11,8.7,12,9.4,17,13.2,16,12.3
Gregg,14,11.8,22,18.5,10,8.1,33,26.5,40,31.7,16,12.5,31,24.3,28,21.7,41,31.5,28,21.2
Grimes,2,7.9,2,7.8,7,26.5,8,30,9,33.4,10,36.7,9,31.9,10,34.9,10,34.4,3,10.2
Guadalupe,42,35.6,33,27.2,37,28.7,26,19.4,19,13.7,33,23,25,16.6,45,28.9,29,18,31,18.7
Hale,0,0,0,0,8,21.5,2,5.4,13,35,4,10.8,11,29.6,13,34.8,21,55.8,5,13.2
Hall,1,28.2,1,27.7,1,26,0,0,1,26,0,0,0,0,0,0,0,0,2,60
Hamilton,0,0,2,23.2,4,44.8,7,77.6,2,21.9,8,87,8,92.9,5,57.8,8,92.2,13,149.3
Hansford,1,19.3,2,37.7,2,38.3,2,38.3,1,19.2,3,57.8,6,100.3,3,49.6,1,16.3,1,16.1
Hardeman,3,69.2,1,23.3,1,21.7,0,0,2,43.5,0,0,1,23.4,2,46.4,2,46,1,22.9
Hardin,8,15.5,7,13.2,3,5.7,7,13.3,14,26.5,14,26.4,5,8.7,0,0,4,6.8,0,0
Harris,729,18.4,437,10.8,598,14.6,611,14.6,545,12.8,703,16.2,584,13.3,636,14.2,720,15.8,531,11.5
Harrison,6,9.3,7,10.8,8,11.8,5,7.3,13,18.9,21,30.3,19,27.9,15,21.8,25,36,9,12.8
Hartley,1,17.4,0,0,2,34.4,0,0,2,34.1,1,17,1,16.2,22,356.4,3,48.5,0,0
Haskell,2,35.9,0,0,3,50.9,3,51,1,17,3,51.1,4,67.2,2,33.5,1,16.7,1,16.7
Hays,66,44.7,14,9.1,87,53,50,29.1,51,28.4,47,25.1,61,32.3,60,30.4,70,33.9,37,17.2
Hemphill,4,113.6,0,0,0,0,1,27.7,1,27.5,0,0,0,0,0,0,1,23.9,0,0
Henderson,19,24,5,6.3,1,1.2,18,21.9,17,20.5,11,13.1,16,19.8,14,17.2,16,19.5,14,17
Hidalgo,197,27.2,195,26.4,193,24.3,215,26.3,131,15.6,193,22.3,159,18.5,166,18.8,115,12.7,273,29.3
Hill,0,0,6,16.7,8,21.6,9,24,13,34.2,13,33.8,8,21.7,11,29.5,20,53.1,16,42
Hockley,9,40.3,2,8.9,14,58.7,7,29.3,2,8.4,9,37.6,13,54.5,18,74.8,10,41.2,5,20.4
Hood,20,39.5,21,40.9,18,32.9,29,51.6,28,48.5,9,15.2,20,36.3,19,33.9,10,17.5,20,34.4
Hopkins,4,11.7,5,14.5,3,8.7,2,5.7,8,22.8,7,19.8,10,27.4,9,24.5,7,18.9,4,10.7
Houston,2,8.4,3,12.7,2,8.2,2,8.1,10,40.4,8,32.1,10,41.1,4,16.3,12,48.7,5,20.2
Howard,1,3,3,9,4,11.9,4,11.9,3,9,4,12,4,11.1,5,13.7,6,16.3,6,16.2
Hudspeth,0,0,0,0,1,26.2,1,25.9,0,0,1,25.5,0,0,3,80.3,1,26.4,0,0
Hunt,4,4.8,9,10.7,9,10,12,13.2,14,15.1,12,12.8,11,12,17,18.2,38,40,9,9.3
Hutchinson,12,53,2,8.8,7,29.7,1,4.3,1,4.3,6,25.7,2,9,2,8.9,9,40.2,5,22.3
Irion,0,0,0,0,1,54.8,1,54.8,0,0,0,0,1,60,3,178.3,0,0,3,176.8
Jack,9,102,1,11.3,10,110.1,5,54.9,8,87.6,6,65.6,1,10.7,3,32,3,31.8,4,42.1
Jackson,4,27,3,20.2,13,84.6,6,38.8,7,45.1,7,44.8,6,42.2,3,21.1,12,84.2,5,35
Jasper,1,2.8,2,5.6,2,5.6,2,5.6,4,11.2,1,2.8,0,0,1,2.7,2,5.5,5,13.6
Jeff Davis,0,0,0,0,1,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,34,13.8,30,12.2,33,13.6,68,28.1,32,13.2,36,14.9,28,10.9,25,9.6,22,8.4,9,3.4
Jim Hogg,1,19.6,0,0,4,72.6,3,54.5,0,0,1,18.1,1,18.2,1,18,0,0,0,0
Jim Wells,16,38.8,12,28.9,41,96.6,26,60.8,17,39.5,28,64.8,13,30.7,23,53.8,14,32.5,9,20.7
Johnson,63,40.6,36,22.9,35,20.7,66,37.8,68,37.8,51,27.5,47,28.6,63,37.6,66,38.5,56,32
Jones,15,74,8,39.6,8,38.5,8,38.5,6,28.9,11,53,4,19,5,23.6,10,46.7,8,37
Karnes,8,52.1,3,19.6,2,11.9,1,5.9,3,17.6,10,58.1,7,45.4,4,25.7,6,38.2,5,31.5
Kaufman,19,19,20,19.4,22,20.4,19,17,17,14.6,20,16.5,32,26.7,21,16.9,20,15.5,20,15
Kendall,14,42.6,11,32.4,9,25.5,14,38.1,7,18.4,13,32.9,13,34.3,16,41,17,42.3,15,36.3
Kenedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent,0,0,1,120.3,0,0,1,116.7,0,0,0,0,0,0,0,0,0,0,0,0
Kerr,23,47.9,14,28.9,18,38.4,16,33.9,14,29.5,8,16.7,12,22.8,17,31.9,11,20.4,13,23.7
Kimble,2,43.4,0,0,0,0,1,20.8,0,0,0,0,1,20.8,1,20.6,1,20.4,2,40.7
King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinney,3,91.6,3,90.4,0,0,1,29,0,0,1,28.9,4,107.6,1,26.8,0,0,0,0
Kleberg,15,49,4,13,7,21.9,8,25.1,7,22.1,5,15.9,5,15,5,14.8,4,11.8,6,17.4
Knox,1,26.2,1,25.7,2,47.2,1,23.5,2,46.9,1,23.4,0,0,4,106.6,3,79.9,3,79.9
Lamar,11,22.1,10,20,9,17.9,7,13.9,8,15.8,15,29.6,12,23.5,9,17.5,9,17.4,4,7.7
Lamb,4,27.8,3,21,5,32.1,8,51.1,4,25.4,2,12.6,8,56.1,4,28,8,55.7,5,34.6
Lampasas,0,0,2,9.5,13,57.5,8,34.6,10,42.3,9,37.3,8,37.9,9,41.9,12,54.9,18,81
La Salle,5,83.9,3,49.7,4,66.3,5,83.2,2,33.4,0,0,1,13.4,2,26.3,2,25.9,0,0
Lavaca,25,128.6,31,159.3,17,86.9,16,81.6,17,86.5,23,116.7,16,82.1,16,81.9,20,102,12,61.1
Lee,0,0,1,5.8,0,0,11,59.9,13,69.8,5,26.5,8,45.4,7,39.1,4,22.1,3,16.3
Leon,1,6,1,5.9,2,11.8,3,17.5,11,63.8,9,51.8,5,28,7,38.6,5,27.2,6,32.1
Liberty,17,21.9,22,28.3,20,24.4,16,19.3,16,19,25,29.3,13,16,25,30.1,15,17.8,23,26.7
Limestone,1,4.5,0,0,2,8.6,4,17,4,16.9,8,33.7,4,16.3,4,16.2,11,43.9,5,19.8
Lipscomb,2,62.9,0,0,0,0,1,31.5,0,0,0,0,1,28.5,0,0,0,0,1,27.5
Live Oak,3,24.8,1,8.2,6,48.4,1,8.1,3,24.3,5,40.5,7,59.9,5,42.7,3,25.5,1,8.5
Llano,0,0,5,25.9,11,56.9,8,40.9,7,35.4,7,35,4,19.8,2,9.8,5,24.3,13,62.4
Loving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubbock,46,17.4,63,23.3,55,20.5,80,29.7,71,26.2,46,16.9,49,16.8,83,28.1,94,31.4,50,16.5
Lynn,3,50.2,2,33.4,2,33.7,3,51,1,17.2,2,34.8,1,16.5,5,82,3,49.1,1,16.3
Mcculloch,3,37,3,36.7,3,34.6,3,34.4,1,11.4,2,22.7,2,23.4,2,23.2,6,68.9,3,34.1
Mclennan,77,33.7,54,23.5,91,39,69,29.2,74,31,73,30.2,103,42.5,99,40.5,64,25.9,81,32.6
Mcmullen,0,0,0,0,0,0,0,0,0,0,1,112.7,0,0,1,133.3,0,0,1,131.8
Madison,0,0,2,14.5,5,34.5,1,6.8,5,33.7,3,20,1,6.9,4,27.3,3,20.2,2,13.3
Marion,1,9.4,1,9.4,2,18.1,1,9.1,2,18.2,1,9.1,3,27.3,2,18.1,3,26.9,1,8.9
Martin,1,20.2,0,0,1,18.8,1,18.6,2,36.9,1,18.2,2,39.1,2,38.6,3,57.1,1,18.7
Mason,3,79.7,0,0,1,26.1,2,52,0,0,3,77.6,1,24.3,3,72.7,2,48.3,2,48.1
Matagorda,3,8,3,8,3,7.7,7,18,10,25.7,6,15.4,3,7.9,7,18.3,12,31.1,2,5.1
Maverick,12,22.7,13,24.3,16,29,19,33.9,25,44.1,17,29.6,13,22.4,10,17,13,21.7,7,11.5
Medina,9,20.3,5,11.2,3,6.6,14,30.3,8,17.1,11,23.2,12,23.9,18,35.1,11,21,11,20.6
Menard,1,42.8,2,85,0,0,1,40.9,0,0,1,40.8,0,0,1,42.6,3,127.6,0,0
Midland,34,26.4,13,9.8,16,12.3,29,22.1,29,21.8,18,13.4,31,21.3,40,27.1,26,17.3,28,18.4
Milam,7,27.4,2,7.8,4,15.1,7,26.2,10,37.2,11,40.6,8,31.3,21,81.5,6,23.1,10,38.2
Mills,0,0,1,19,1,18.1,0,0,1,17.7,0,0,0,0,1,19.8,4,78.7,3,58.6
Mitchell,4,42,1,10.4,1,10.2,3,30.6,4,40.8,1,10.2,0,0,0,0,0,0,0,0
Montague,4,20,3,14.9,12,59.3,8,39.3,11,53.8,8,39,4,19.6,11,53.4,2,9.6,4,19.1
Montgomery,82,19.2,61,13.7,80,16.8,108,21.7,138,26.5,127,23.3,123,23.3,116,21.1,165,29,80,13.5
Moore,8,39.6,3,14.6,4,19,6,28.3,2,9.4,4,18.8,3,12.8,9,37.7,10,41.2,4,16.2
Morris,2,15.3,2,15.3,1,7.4,2,14.8,4,29.4,5,36.7,2,15,3,22.3,8,59.1,5,36.7
Motley,0,0,0,0,1,70.3,0,0,5,353.6,0,0,0,0,2,164.5,0,0,0,0
Nacogdoches,26,41.5,15,23.5,19,29.6,42,64.8,24,36.7,22,33.4,25,36.9,16,23.3,10,14.4,7,9.9
Navarro,11,22.3,7,14.1,11,21.3,6,11.5,12,22.6,8,14.8,10,19.7,10,19.4,10,19.1,12,22.6
Newton,1,7,1,7,2,13.4,1,6.7,2,13.5,0,0,0,0,3,20.8,1,6.9,3,20.9
Nolan,14,93.4,12,79.3,2,13.9,20,140.1,7,49.5,7,50,9,57.7,9,57.4,11,69.7,7,44.1
Nueces,118,36.7,48,14.9,51,15.7,68,20.9,61,18.7,51,15.6,47,13.3,59,16.5,56,15.5,61,16.7
Ochiltree,2,20.9,1,10.3,4,40.1,0,0,0,0,0,0,0,0,2,17.5,2,17.1,4,33.5
Oldham,3,137.2,0,0,2,85.4,2,85.5,0,0,2,84.7,1,47.4,2,94,2,93.2,0,0
Orange,13,15.5,5,5.9,13,15.3,14,16.5,15,17.7,10,11.8,10,11.8,4,4.7,12,14,0,0
Palo Pinto,25,89.7,6,21.4,11,37.1,14,46.8,13,43.1,6,19.7,11,37.2,20,66.9,19,62.7,14,45.7
Panola,3,12.9,3,12.9,1,4.1,7,28.9,6,24.7,3,12.3,11,44.6,2,8,5,19.9,3,11.8
Parker,57,51.1,38,32.9,46,38.8,46,37.8,49,39.2,42,32.7,38,28.7,99,72.5,75,53.3,53,36.5
Parmer,5,51.9,5,51.4,3,29.3,1,9.8,5,48.8,3,29.2,5,45.2,6,53.3,11,96,2,17.1
Pecos,6,35.8,1,5.9,3,16.8,5,27.9,3,16.7,3,16.7,4,24.7,5,30.5,4,24.2,2,12
Polk,12,26,6,13,8,16,9,17.7,10,19.3,5,9.5,5,10.4,2,4.1,6,12.2,6,12
Potter,115,94.3,12,9.8,19,15,30,23.5,8,6.2,13,10,16,12.7,28,21.9,46,35.7,33,25.3
Presidio,1,12.4,1,12.3,1,11.5,2,22.7,1,11.2,2,22.1,0,0,1,12,1,11.9,4,47.1
Rains,2,18.2,0,0,1,9.1,2,18,2,17.7,2,17.4,2,17,0,0,2,16.3,2,16.1
Randall,62,53.2,14,11.9,10,8.3,40,32.9,21,17.1,7,5.6,19,14.8,32,24.5,50,37.6,38,28.1
Reagan,0,0,0,0,0,0,0,0,2,64.8,1,32.7,2,55.8,0,0,0,0,0,0
Real,3,91.1,0,0,0,0,3,88.7,1,29.4,1,29.1,1,29.5,1,29.5,0,0,0,0
Red River,4,29.4,0,0,2,13.9,2,13.9,2,13.9,1,7,2,15.2,2,15.1,1,7.5,5,37.5
Reeves,4,35.2,1,8.7,2,18.1,2,18.4,6,56.3,2,19.1,3,21,2,13.9,1,6.9,3,20.5
Refugio,2,27.1,2,27,1,14,3,42.6,1,14.4,2,29.1,1,13.4,2,26.7,2,26.7,4,53.4
Roberts,1,118.3,0,0,0,0,1,104.8,0,0,2,207,0,0,0,0,0,0,0,0
Robertson,0,0,0,0,5,29.6,7,41.2,5,29.3,5,29.1,2,11.2,7,38.7,4,21.8,10,53.6
Rockwall,14,18.4,10,12.3,18,21.1,16,17.6,19,19.5,9,8.7,13,14.1,22,23,13,13,17,16.4
Runnels,5,46.3,3,27.4,3,25.5,1,8.5,4,33.8,2,16.9,5,46.7,3,27.9,3,27.8,3,27.7
Rusk,6,12.4,10,20.5,6,12,14,27.8,16,31.7,7,13.8,19,33.2,15,25.8,11,18.6,6,10
Sabine,1,9.6,3,28.6,0,0,1,9.2,2,18.4,2,18.4,0,0,4,34.8,3,25.8,1,8.5
San Augustine,3,33.2,1,11.1,3,31.3,2,20.8,1,10.3,0,0,1,11,0,0,3,32.6,1,10.8
San Jacinto,4,15.6,2,7.8,8,28.4,3,10.4,4,13.7,0,0,2,6.9,3,10.2,15,50,1,3.3
San Patricio,34,49.1,17,24.6,21,29.6,19,26.7,19,26.7,12,16.8,14,21.1,26,39,9,13.4,11,16.3
San Saba,0,0,0,0,1,15.7,1,15.6,0,0,0,0,2,31.9,1,15.9,2,31.7,4,63
Schleicher,0,0,0,0,3,94,0,0,2,61.6,0,0,6,162.7,1,26.8,0,0,0,0
Scurry,0,0,3,18.4,2,11.6,3,17.4,3,17.3,9,51.8,2,11.3,3,16.8,3,16.6,7,38.3
Shackelford,6,179.9,0,0,1,28.9,1,28.7,0,0,0,0,1,28.4,4,112.6,1,27.9,2,55.2
Shelby,65,248,6,22.5,10,37.6,8,29.9,14,52.1,5,18.5,8,29.9,6,22.2,3,11,1,3.6
Sherman,0,0,0,0,0,0,0,0,0,0,0,0,1,31.4,1,31.1,0,0,0,0
Smith,48,23.9,35,17.1,13,6.3,36,17.1,38,17.7,13,5.9,37,16.6,19,8.4,53,23.1,27,11.6
Somervell,5,61.5,1,12.2,0,0,2,22.7,4,44.3,2,21.7,6,64.9,4,42.4,3,31.1,3,30.5
Starr,20,31.9,26,41.5,39,57.9,28,40.7,16,22.8,30,42,22,34.2,21,32.3,23,34.9,33,49.5
Stephens,4,41.4,2,20.7,0,0,3,29.1,2,19.3,4,38.4,0,0,0,0,4,39.9,3,29.7
Sterling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83.8,0,0,3,249.8
Stonewall,2,130.7,3,190.2,0,0,0,0,3,184.8,2,123.7,1,66.5,0,0,3,198.4,3,199.2
Sutton,2,46.4,1,23.2,1,21.6,3,64.1,0,0,1,20.9,1,22.9,2,45.3,0,0,1,22.2
Swisher,6,74.9,1,12.5,1,12.2,2,24.4,2,24.6,6,74,8,99.7,11,136.6,9,111.4,3,37
Tarrant,389,22.3,306,17.2,361,19.8,373,19.9,341,17.8,342,17.4,351,18.2,405,20.7,337,16.9,411,20.3
Taylor,56,43.8,21,16.4,26,19.8,35,26.6,83,62.9,22,16.7,36,26.7,23,17,27,19.8,26,19
Terrell,0,0,1,95.6,0,0,0,0,1,90.4,0,0,0,0,0,0,0,0,0,0
Terry,1,8.2,0,0,0,0,0,0,1,8.9,0,0,3,23.1,0,0,2,15.3,2,15.2
Throckmorton,2,112.2,1,53.8,0,0,0,0,1,52.9,0,0,0,0,2,120.8,1,60.3,0,0
Titus,5,16.5,5,16.4,1,3.1,3,9.3,0,0,3,9,1,2.9,2,5.7,7,19.7,2,5.6
Tom Green,6,5.7,22,20.8,27,26,28,27,25,24.2,20,19.4,36,32.1,28,24.9,36,31.9,26,22.9
Travis,244,24.7,199,19.6,259,26.1,274,27.1,250,24.3,228,21.8,300,26.8,253,22.1,285,24.3,223,18.6
Trinity,3,21,3,20.9,1,6.6,7,45.8,3,19.5,1,6.5,4,26,1,6.4,4,25.3,4,24.9
