COUNTY,2008 COUNT,2008 RATE,2009 COUNT,2009 RATE,2010 COUNT,2010 RATE,2011 COUNT,2011 RATE,2012 COUNT,2012 RATE,2013 COUNT,2013 RATE,2014 COUNT,2014 RATE,2015 COUNT,2015 RATE,2016 COUNT,2016 RATE,2017 COUNT,2017 RATE
Anderson,3,5.3,2,3.5,0,0,6,10.3,5,8.6,0,0,1,1.7,5,8.3,23,37.9,22,36
Andrews,0,0,0,0,0,0,0,0,0,0,1,6.8,0,0,11,68.2,14,85.5,4,24
Angelina,1,1.2,5,6,6,7,8,9.3,7,8.1,3,3.5,1,1.1,2,2.2,4,4.4,9,9.8
Aransas,3,11.8,0,0,2,7.3,0,0,2,7,2,6.9,5,20.5,3,12.1,6,24,3,11.9
Archer,1,10.8,0,0,0,0,2,20.9,0,0,0,0,0,0,3,31.6,3,31.4,11,114.1
Armstrong,0,0,0,0,0,0,1,43.6,0,0,1,43.3,0,0,0,0,0,0,0,0
Atascosa,0,0,0,0,2,4.4,2,4.3,3,6.3,2,4.2,4,8.1,8,15.9,17,33.1,11,20.9
Austin,1,3.7,1,3.6,2,7,0,0,2,6.7,0,0,1,3.2,3,9.3,5,15.1,3,8.9
Bailey,6,95.5,5,78.8,4,63.2,2,31.8,6,95.8,3,48.2,6,78.2,4,51.3,5,63.2,13,161.9
Bandera,0,0,0,0,0,0,4,18.5,1,4.5,2,9,2,9,3,13.2,5,21.5,2,8.4
Bastrop,0,0,1,1.3,3,3.7,6,7.1,16,18.3,14,15.5,17,20.3,19,22,17,19.1,14,15.3
Baylor,0,0,0,0,0,0,1,25.1,1,25.1,0,0,2,53.6,2,53.7,1,26.9,3,80.9
Bee,3,9.1,6,18.1,4,11.7,2,5.8,4,11.6,7,20.3,6,18.4,8,24.5,11,33.5,11,33.3
Bell,13,4.6,43,15.1,40,13.7,30,10.1,38,12.6,44,14.3,55,16,63,17.9,95,26.3,113,30.6
Bexar,129,8,123,7.5,221,13.5,113,6.8,208,12.4,249,14.6,195,10.6,274,14.6,494,25.8,579,29.6
Blanco,0,0,0,0,0,0,2,18.9,2,18.5,0,0,0,0,4,34.1,1,8.3,6,49
Borden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosque,0,0,0,0,1,5.6,0,0,0,0,4,22.2,0,0,2,10.3,6,30.6,7,35.3
Bowie,3,3.2,3,3.2,11,11.8,4,4.3,5,5.3,3,3.2,1,1.1,8,8.5,9,9.6,6,6.4
Brazoria,8,2.7,0,0,7,2.2,6,1.8,13,3.9,19,5.5,25,7.2,21,5.9,25,6.8,32,8.4
Brazos,8,4.6,13,7.2,32,18.2,35,19.7,38,21.1,46,25.2,18,8.5,32,14.9,44,20.1,71,31.7
Brewster,0,0,1,10.6,2,21.1,1,10.5,5,52.3,3,31.3,2,20.7,4,41,3,30.4,5,50.1
Briscoe,0,0,0,0,1,53.7,1,53.6,2,107,0,0,0,0,0,0,0,0,1,59.6
Brooks,3,38.8,4,51.8,2,25.4,1,12.8,1,12.8,2,25.7,1,13.4,1,13.3,3,39.8,1,13.2
Brown,0,0,0,0,0,0,0,0,0,0,1,2.5,2,5.1,5,12.7,2,5,3,7.5
Burleson,0,0,0,0,3,16.1,1,5.3,3,15.7,1,5.2,2,11,1,5.4,5,26.7,13,68.5
Burnet,0,0,1,2.3,9,18.9,2,4.1,8,15.8,1,1.9,4,8.6,11,23.2,12,24.8,11,22.3
Caldwell,0,0,2,5.4,11,28.4,6,15.2,12,29.9,11,26.9,12,28.4,31,71.6,19,42.8,23,50.5
Calhoun,0,0,0,0,0,0,0,0,1,4.2,0,0,1,4.4,22,94.4,34,143.6,34,141.2
Callahan,1,7.3,3,21.6,1,6.9,1,6.8,3,20.2,1,6.7,1,7.1,3,21.2,3,21.1,9,62.7
Cameron,31,7.9,27,6.8,35,8.4,17,4,51,11.8,61,13.8,44,10,62,13.8,38,8.3,77,16.5
Camp,0,0,0,0,1,7.5,1,7.3,0,0,1,7.1,0,0,0,0,0,0,2,14.5
Carson,2,31.4,0,0,1,14.8,0,0,2,29.4,1,14.6,0,0,1,15.7,2,31.3,2,31.2
Cass,2,6.6,1,3.3,1,3.3,3,9.8,3,9.8,1,3.3,0,0,2,6.4,2,6.4,2,6.3
Castro,1,13.2,4,52.8,3,40.6,4,54.9,2,27.8,2,28.1,0,0,2,23.5,0,0,4,46.2
Chambers,2,6.1,0,0,1,2.8,2,5.4,0,0,1,2.6,0,0,0,0,0,0,1,2.3
