FIPS,COUNTY_NAME,VALUE
32003,CLARK,325
32005,DOUGLAS,58
32007,ELKO,1765
32013,HUMBOLDT,529
32015,LANDER,211
32019,LYON,244
32023,NYE,280
32027,PERSHING,506
32031,WASHOE,47
32033,WHITE PINE,343
32510,CARSON CITY,126
