COUNTY,2015 COUNT,2016 COUNT,2017 COUNT,2018 COUNT,2015 RATE,2016 RATE,2017 RATE,2018 RATE
Apache,1,0,0,2,-,-,-,-
Cochise,4,1,6,6,-,-,-,-
Coconino,1,2,5,6,-,-,-,-
Gila,0.0,0,1,0,-,-,-,-
Graham,0,3,1,2,-,-,-,-
Greenlee,0,0,0,1,-,-,-,-
La Paz,0.0,1,0,0,-,-,-,-
Maricopa,69,87,92,164,-,-,-,-
Mohave,3.0,1,11,5,-,-,-,-
Navajo,3,1,1,8,-,-,-,-
Pima,26,29,28,69,-,-,-,-
Pinal,6,9,5,17,-,-,-,-
Santa Cruz,5.0,9,7,4,-,-,-,-
Yavapai,10,2,4,9,-,-,-,-
Yuma,0,3,5,3,-,-,-,-
