COUNTY,2017 COUNT,2017 RATE,2016 COUNT,2016 RATE,2015 COUNT,2015 RATE,2014 COUNT,2014 RATE
ALBANY,47,15.2,42,13.6,59,19.1,59,19.2
ALLEGANY,9,19.1,12,25.3,11,23,9,18.7
BROOME,21,10.8,21,10.7,20,10.1,20,10.1
CATTARAUGUS,11,14.2,7,9,16,20.4,8,10.1
CAYUGA,21,27,13,16.6,19,24.1,19,23.9
CHAUTAUQUA,12,9.3,16,12.2,25,18.9,13,9.8
CHEMUNG,14,16.2,16,18.4,33,37.6,25,28.2
CHENANGO,8,16.5,6,12.3,12,24.3,11,22.2
CLINTON,14,17.3,11,13.5,12,14.7,9,11
COLUMBIA,10,16.4,7,11.4,2,3.2,12,19.3
CORTLAND,3,6.2,8,16.5,8,16.3,11,22.5
DELAWARE,12,26.4,10,21.7,28,60.1,13,27.8
DUTCHESS,41,13.9,42,14.2,35,11.8,42,14.1
ERIE,96,10.4,86,9.3,84,9.1,108,11.7
ESSEX,7,18.4,11,28.6,13,33.6,8,20.6
FRANKLIN,24,47.6,16,31.6,12,23.4,11,21.3
FULTON,7,13,5,9.3,1,1.8,5,9.2
GENESEE,15,25.6,10,17,5,8.5,4,6.7
GREENE,6,12.6,10,21,10,20.8,6,12.4
HAMILTON,0,0,0,0,1,21.2,3,62.9
HERKIMER,15,24,11,17.4,16,25.1,12,18.7
JEFFERSON,60,52.6,41,34.9,21,17.6,24,20.1
LEWIS,18,67,30,111.3,17,62.5,11,40.5
LIVINGSTON,11,17.1,10,15.5,5,7.7,6,9.3
MADISON,11,15.4,12,16.7,11,15.2,16,22.1
MONROE,117,15.6,123,16.4,111,14.8,121,16.1
MONTGOMERY,11,22.3,16,32.2,11,22.1,13,26.1
NASSAU,275,20.2,220,16.2,291,21.4,287,21.2
NIAGARA,15,7.1,13,6.1,22,10.3,28,13.1
ONEIDA,22,9.5,32,13.8,16,6.9,27,11.6
ONONDAGA,84,18,86,18.4,81,17.3,171,36.5
ONTARIO,15,13.7,20,18.3,13,11.8,18,16.5
ORANGE,74,19.5,57,15.1,40,10.6,46,12.2
ORLEANS,8,19.3,0,0,4,9.5,7,16.6
OSWEGO,17,14.3,14,11.7,13,10.8,21,17.3
OTSEGO,13,21.6,14,23.1,25,40.9,15,24.3
PUTNAM,18,18.2,18,18.2,14,14.1,21,21.1
RENSSELAER,21,13.1,14,8.7,12,7.5,22,13.8
ROCKLAND,113,34.6,78,23.9,87,26.9,85,26.5
ST. LAWRENCE,18,16.4,15,13.5,15,13.5,8,7.1
SARATOGA,44,19.4,33,14.6,26,11.6,38,17
SCHENECTADY,36,23.3,15,9.7,18,11.6,17,10.9
SCHOHARIE,11,35.1,12,38.3,4,12.7,13,40.8
SCHUYLER,4,22.1,9,49.5,2,10.8,11,59.6
SENECA,5,14.4,11,31.6,8,22.9,10,28.2
STEUBEN,28,28.9,33,33.8,29,29.5,32,32.4
SUFFOLK,270,18.1,243,16.2,290,19.3,265,17.7
SULLIVAN,14,18.7,10,13.4,11,14.5,16,20.9
TIOGA,9,18.5,12,24.3,5,10,12,23.9
TOMPKINS,24,22.9,20,19.1,30,28.7,22,21.2
ULSTER,40,22.3,30,16.7,32,17.7,39,21.5
WARREN,11,17,9,13.9,9,13.9,11,16.8
WASHINGTON,23,37.2,21,33.7,18,28.9,17,26.9
WAYNE,11,12.1,11,12,9,9.8,26,28.1
WESTCHESTER,217,22.3,224,22.9,245,25.2,274,28.3
WYOMING,8,19.6,9,21.9,9,21.9,7,16.9
YATES,3,12,7,27.9,6,23.8,6,23.9
