COUNTY,AMEBIASIS,ANAPLASMOSIS,"ARBO, OTHER NON-INVASIVE",BABESIOSIS,BOTULISM,BRUCELLOSIS,CAMPYLOBACTERIOSIS,CHLAMYDIA,CHIKUNGUNYA,CHOLERA,CRYPTOSPORIDIOSIS,CYCLOSPORIASIS,DENGUE FEVER,E. COLI SHIGA-TOXIN,EHRLICHIOSIS,EHRLICH/ANAPLAS UNDETERMINED,ENCEPHALITIS (NON-WNV),GIARDIASIS,GONORRHEA,HAEMOPHILUS INFLUENZAE,HANTAVIRUS,HEMOLYTIC UREMIC SYNDROME,HEPATITIS A,HEPATITIS B ACUTE,HEPATITIS B CHRONIC*,HEPATITIS C ACUTE,HEPATITIS C CHRONIC*,"HERPES INF, INFANT <60 DAYS",LABORATORY CONFIRMED INFLUENZA,LEGIONELLOSIS,LISTERIOSIS,LYME DISEASE,LYMPHOGRANULOMA VENEREUM,MALARIA,MEASLES,MELIOIDOSIS,MENINGITIS ASEPTIC,MENINGOCOCCAL,MENINGITIS OTHER BACT. AND UNKNOWN,MUMPS,PERTUSSIS,PSITTACOSIS,Q FEVER,RMSF,RUBELLA,SALMONELLOSIS,SHIGELLOSIS,STREP GROUP A INVASIVE,STREP GROUP B INVASIVE,STREP PNEUMO INVASIVE,SYPHILIS EARLY,SYPHILIS LATE,TETANUS,TOXIC SHOCK SYNDROME,TUBERCULOSIS,TYPHOID FEVER,VIBRIOSIS,VISA,WEST NILE FEVER,WEST NILE VIRUS,YERSINIOSIS,ZIKA VIRUS
CORTLAND,0,0,0,0,0,0,3,171,0,0,4,0,0,0,0,0,0,6,12,0,0,0,0,0,0,2,48,0,299,22,0,46,0,0,0,0,5,1,1,2,1,0,0,0,0,4,1,1,8,7,6,1,0,0,0,0,0,0,0,0,1,0
DELAWARE,0,3,0,1,0,0,12,85,0,0,2,0,0,0,0,0,1,11,6,0,0,0,0,1,0,5,23,0,273,1,1,124,0,0,0,0,1,0,0,0,3,0,0,1,0,5,1,3,7,3,1,0,0,0,0,0,1,0,0,0,0,0
DUTCHESS,5,107,0,119,1,0,41,1074,0,0,5,0,0,5,19,2,2,22,210,9,0,1,3,2,50,4,243,1,990,9,0,581,0,2,0,0,2,0,0,0,19,0,0,2,0,38,0,15,30,18,61,21,0,0,4,0,2,0,0,1,1,4
ERIE,5,0,0,0,0,0,96,5571,2,0,8,0,0,17,0,0,0,83,2039,25,0,0,4,3,123,10,919,1,2527,87,5,89,0,6,0,0,25,0,7,2,12,0,0,0,0,96,38,71,103,72,83,74,0,0,5,6,2,0,1,0,5,2
ESSEX,0,13,0,0,0,0,7,78,0,0,1,1,0,1,0,0,1,5,3,0,0,0,0,0,3,1,34,0,83,2,0,121,0,0,0,0,0,0,0,3,3,0,0,0,0,6,1,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0
FRANKLIN,0,2,0,0,0,1,24,86,0,0,6,1,0,1,0,0,0,11,6,1,1,0,0,0,3,6,29,0,201,0,0,41,0,0,0,0,3,0,1,0,4,0,0,0,0,3,0,5,5,8,1,2,0,0,0,0,1,0,0,0,1,0
FULTON,0,5,0,1,0,0,7,166,0,0,1,0,0,1,0,0,0,2,21,1,0,0,1,0,3,1,48,1,173,1,0,40,0,0,0,0,0,0,0,2,3,0,0,0,0,4,0,6,9,5,2,0,0,0,1,0,0,0,0,0,0,0
GENESEE,0,0,0,0,0,0,15,167,0,0,1,0,0,3,0,0,0,2,32,3,0,0,0,0,4,1,37,0,352,4,2,6,0,0,0,0,2,0,0,0,1,0,0,0,0,8,0,1,12,6,4,3,0,1,1,0,0,0,0,0,0,1
GREENE,1,39,0,14,0,0,6,129,0,0,0,0,0,0,0,0,1,1,22,1,0,0,0,0,2,3,45,0,179,3,0,358,0,0,0,0,2,0,0,5,0,0,0,0,0,1,1,3,5,4,2,2,0,0,0,0,0,0,0,0,0,0
HAMILTON,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HERKIMER,0,2,0,0,0,0,15,124,0,0,4,0,0,4,0,0,0,7,15,1,0,0,0,0,2,0,45,0,554,3,0,48,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,4,9,2,1,1,0,0,0,0,0,0,0,0,0,0
JEFFERSON,0,0,0,0,0,0,60,787,0,0,32,2,0,9,1,0,6,17,122,4,0,0,1,0,12,2,62,0,606,3,0,67,0,1,0,0,6,0,1,0,7,0,0,0,0,26,0,5,15,12,5,2,0,0,1,0,2,0,0,0,2,0
LEWIS,0,0,0,0,0,0,18,63,0,0,15,1,0,10,0,0,1,11,5,0,0,0,0,0,0,2,13,0,285,1,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
